,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,4e-05,2e-05,2e-05,3e-05,4e-05,2e-05,3e-05,2e-05,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,4e-05,3e-05,1e-05,3e-05,1e-05,0.0,2e-05,0.0,1e-05,2e-05,2e-05,0.0,3e-05,3e-05,4e-05,2e-05
1,0.00052,0.00087,2e-05,0.00024,0.00017,8e-05,0.0008,0.00047,0.00041,0.00045,0.00028,0.00061,0.00027,8e-05,0.00039,0.00062,0.00039,0.00048,0.00077,0.00034,0.00027,0.00025,0.00016,0.00034,0.00043,0.00047,0.00015,0.00088,0.00017,0.00049
1,2e-05,1e-05,1e-05,4e-05,0.0,2e-05,2e-05,1e-05,4e-05,3e-05,2e-05,1e-05,4e-05,1e-05,2e-05,4e-05,2e-05,3e-05,0.0,1e-05,1e-05,2e-05,2e-05,0.0,2e-05,4e-05,0.0,0.0,2e-05,1e-05
1,0.00378,0.00099,0.00486,0.00116,0.00303,0.00499,0.00771,0.00213,0.00388,0.00592,0.00178,0.00408,0.00438,0.00225,0.00184,0.00409,0.00364,0.00384,0.00266,0.00305,0.00331,0.00208,0.00315,0.00507,0.0051,0.00493,0.00581,0.0034,0.00022,0.00405
1,0.00273,0.00303,0.00416,0.00378,0.0015,0.00328,0.00455,0.00683,0.00334,0.00478,0.00507,0.00399,0.00344,0.00197,0.00345,0.00562,0.00404,0.00486,0.00482,0.00092,0.00308,0.003,0.00304,0.00524,0.00493,0.00258,0.00085,0.00339,0.0019,0.00266
0,1e-05,1e-05,3e-05,3e-05,0.0,0.0,1e-05,3e-05,3e-05,3e-05,0.0,2e-05,3e-05,4e-05,1e-05,2e-05,4e-05,1e-05,3e-05,3e-05,0.0,3e-05,3e-05,2e-05,2e-05,4e-05,1e-05,1e-05,4e-05,3e-05
0,1e-05,4e-05,4e-05,0.0,3e-05,1e-05,2e-05,0.0,4e-05,3e-05,4e-05,4e-05,1e-05,2e-05,3e-05,3e-05,0.0,4e-05,4e-05,2e-05,4e-05,3e-05,4e-05,3e-05,1e-05,2e-05,0.0,3e-05,3e-05,4e-05
1,0.00206,0.00102,0.00421,0.00024,0.00115,0.00314,0.00361,0.00103,0.0012,0.00405,0.0006,0.00201,0.00328,0.00137,0.00119,0.00296,0.00069,0.00382,0.00016,0.00057,0.00175,0.00181,0.00225,0.00342,0.00361,0.00298,0.00314,0.0022,0.00096,0.00191
1,0.00531,0.00217,0.00825,0.00424,0.00322,0.0048,0.00851,0.00368,0.004,0.00783,0.00495,0.00357,0.00501,0.00367,0.00217,0.00535,0.00247,0.00616,0.00609,0.00206,0.00099,0.00063,0.00505,0.00535,0.00604,0.00489,0.00575,0.00482,0.00072,0.00324
0,3e-05,2e-05,1e-05,1e-05,4e-05,4e-05,2e-05,2e-05,4e-05,1e-05,4e-05,3e-05,2e-05,1e-05,3e-05,0.0,2e-05,0.0,4e-05,1e-05,4e-05,4e-05,3e-05,3e-05,1e-05,1e-05,2e-05,3e-05,3e-05,3e-05
0,4e-05,2e-05,1e-05,0.0,2e-05,0.0,1e-05,0.0,2e-05,4e-05,0.0,3e-05,2e-05,1e-05,4e-05,4e-05,1e-05,4e-05,1e-05,4e-05,0.0,3e-05,4e-05,3e-05,1e-05,2e-05,3e-05,0.0,0.0,2e-05
0,4e-05,4e-05,3e-05,1e-05,0.0,2e-05,2e-05,4e-05,1e-05,1e-05,4e-05,0.0,1e-05,2e-05,4e-05,2e-05,1e-05,1e-05,4e-05,1e-05,2e-05,2e-05,1e-05,3e-05,0.0,2e-05,2e-05,4e-05,1e-05,3e-05
