n_sim,top_down,n_env,cor,n_active
8,True,1,0.878725716546086,117
8,True,2,0.5468414453568969,148
8,True,3,0.5228194840380601,165
8,True,4,0.5022446232044843,163
8,True,5,0.4784453452184256,156
8,True,6,0.44113818210696815,166
8,True,7,0.3968770007559641,174
8,True,8,0.3409043201724513,183
8,True,9,0.29554063700999167,183
8,True,10,0.25787512165045046,183
8,True,11,0.2012008949761255,181
8,True,12,0.18602496083237932,185
8,True,13,0.1669978332925418,192
8,True,14,0.14673046372776974,193
8,True,15,0.14507160109631576,195
8,True,16,0.14909408487368334,197
8,True,17,0.11773564940048256,198
8,True,18,0.12982512607202734,199
8,True,19,0.12005745199130721,196
8,True,20,0.10044210246482921,196
8,True,21,0.11727165065856782,195
8,False,1,0.8161690061976397,100
8,False,2,0.6912523898893737,95
8,False,3,0.4533663661435806,115
8,False,4,0.3687768468469187,113
8,False,5,0.3902839387607725,86
8,False,6,0.22928348819379418,107
8,False,7,0.21212510835565598,146
8,False,8,0.35022449706681885,128
8,False,9,0.030404059001593566,144
8,False,10,0.01981460666000681,142
8,False,11,-0.03392987232942153,122
8,False,12,0.008856062449267219,159
8,False,13,0.25058255747696273,152
8,False,14,0.23563674739183302,150
8,False,15,0.2073625709796294,142
8,False,16,0.13378100448857227,162
8,False,17,0.12384477465551988,175
8,False,18,0.26261523474179876,146
8,False,19,0.2804348043020575,165
8,False,20,0.23806734112430547,165
8,False,21,0.29210095609269343,172
9,True,1,0.8811808910107527,128
9,True,2,0.5946943186177465,138
9,True,3,0.5349718196318813,145
9,True,4,0.47475148926966726,159
9,True,5,0.37471642513310605,174
9,True,6,0.32174196366902513,184
9,True,7,0.3253898355741222,182
9,True,8,0.2922790994027265,178
9,True,9,0.26881539983024444,177
9,True,10,0.19460204239184972,181
9,True,11,0.18721933445846234,181
9,True,12,0.15151489878861976,190
9,True,13,0.12366930416946172,193
9,True,14,0.1593137039998948,176
9,True,15,0.10994075213156582,165
9,True,16,0.10873847721889517,165
9,True,17,0.1435641320098802,138
9,True,18,0.10913842332177914,149
9,True,19,0.06322339996557395,158
9,True,20,0.0815278470689039,170
9,True,21,0.04989736304225082,178
9,False,1,0.8724170368432616,102
9,False,2,0.713679730030769,103
9,False,3,0.5907998264263432,94
9,False,4,0.45189518536179096,114
9,False,5,0.35869907641392657,114
9,False,6,0.4265137841112106,115
9,False,7,0.311491481824941,112
9,False,8,0.11519729546580772,139
9,False,9,0.13711362623245213,119
9,False,10,0.24122292353185937,118
9,False,11,0.21404697998507324,162
9,False,12,0.24215018604523939,145
9,False,13,0.2745260111478606,142
9,False,14,0.12131058243316753,134
9,False,15,0.027087416408963023,192
9,False,16,0.11376665254304612,152
9,False,17,0.11106951434891595,192
9,False,18,0.12951039350753182,153
9,False,19,0.09175428186366286,182
9,False,20,0.1796918268593813,157
9,False,21,0.0754323254723293,145
10,True,1,0.84916627997031,131
10,True,2,0.517922516318234,155
10,True,3,0.507213126528184,157
10,True,4,0.40685673048639986,171
10,True,5,0.3902146505361183,185
10,True,6,0.3336634244729142,183
10,True,7,0.3098897927545528,182
10,True,8,0.25113676104812416,189
10,True,9,0.2317804809562499,187
10,True,10,0.22676556255762376,192
10,True,11,0.21840998803397393,190
10,True,12,0.19945871725228032,192
10,True,13,0.1732052467606962,193
10,True,14,0.15255436236314351,195
10,True,15,0.1537768777301899,189
10,True,16,0.13132421690233537,192
10,True,17,0.12724953210593992,195
10,True,18,0.12326576811086389,175
10,True,19,0.11378164525184527,178
10,True,20,0.09991414979297661,181
10,True,21,0.09611506239545185,190
10,False,1,0.8819836125697765,112
10,False,2,0.6657944854384457,119
10,False,3,0.558062072560341,114
10,False,4,0.3108518292802795,133
10,False,5,0.2727239055116733,136
10,False,6,0.36652487543602696,137
10,False,7,0.42375798173270696,177
10,False,8,0.15179246250261144,193
10,False,9,0.2645316305236117,168
10,False,10,0.05002336776853173,189
10,False,11,0.36516724121049293,176
10,False,12,0.3267455822506606,175
10,False,13,0.30908466497425324,183
10,False,14,0.30991822202061503,170
10,False,15,0.18132191570821837,169
10,False,16,0.3093683196773506,138
10,False,17,0.31117168522809274,161
10,False,18,0.31202949924067297,164
10,False,19,0.21620152939291265,149
10,False,20,0.15946536972189268,158
10,False,21,0.14250709014805013,163
