n_sim,top_down,n_env,cor
5,False,4,0.765264892249987
5,False,5,0.7869856768030643
5,False,6,0.724854459453266
5,False,7,0.5050032853662885
5,False,8,0.46732816236088837
5,False,9,0.6935757138115056
5,False,10,0.7238483106975769
5,False,11,0.8026682484067317
5,False,12,0.7728318813855098
5,False,13,0.7345327803973035
5,False,14,0.8196492557337018
5,False,15,0.6326357600100567
5,False,16,0.7088739827833426
5,False,17,0.7720858984977856
5,False,18,0.8328019130356374
5,False,19,0.7288786260821095
5,False,20,0.7859944284855789
5,False,21,0.8240689181415202
6,True,1,0.9514770385026811
6,True,2,0.6913918921882327
6,True,3,0.6849796618234325
6,True,4,0.7237734187935881
6,True,5,0.6954471631972726
6,True,6,0.7245279961057838
6,True,7,0.7053327961346111
6,True,8,0.7722209818585825
6,True,9,0.7073617575128004
6,True,10,0.7304492147109428
6,True,11,0.736757927228631
6,True,12,0.7523106627964401
6,True,13,0.7271224714489486
6,True,14,0.7256076774278017
6,True,15,0.6356622119452067
6,True,16,0.7269949301868026
6,True,17,0.6985008119261287
6,True,18,0.6989360882406107
6,True,19,0.7212984210411338
6,True,20,0.752428008544227
6,True,21,0.6182346254191643
6,False,1,0.9033609812196208
6,False,2,0.5952076595681384
6,False,3,0.7033769802533328
6,False,4,0.630129561016932
6,False,5,0.5753183958287974
6,False,6,0.7374207903937582
6,False,7,0.7812086260063495
6,False,8,0.7685044492072683
6,False,9,0.7489796691244102
6,False,10,0.49995866335843375
6,False,11,0.6565196401154709
6,False,12,0.4916728877033272
6,False,13,0.6864813746640018
6,False,14,0.7741883772935725
6,False,15,0.7360742782453275
6,False,16,0.8257542971618187
6,False,17,0.6400933342423931
6,False,18,0.7497757022037512
6,False,19,0.7332933988177193
6,False,20,0.7531210142274867
6,False,21,0.7807690643157238
7,True,1,0.8860029544126471
7,True,2,0.6294996540204361
7,True,3,0.7205811830916445
7,True,4,0.7073323831683355
7,True,5,0.7765318756568466
7,True,6,0.7262616325052157
7,True,7,0.6638797117114159
7,True,8,0.7238963087683513
7,True,9,0.8160666380730046
7,True,10,0.6016614294116005
7,True,11,0.7594811357850714
7,True,12,0.6196103132512575
7,True,13,0.7329227879794294
7,True,14,0.7222533677699419
7,True,15,0.604355339941668
7,True,16,0.7233578436310498
7,True,17,0.7217210891522263
7,True,18,0.6643166182748051
7,True,19,0.6233884334887798
7,True,20,0.7306219598692651
7,True,21,0.5935811350805524
7,False,1,0.8147938227891788
7,False,2,0.7637078971968428
7,False,3,0.7866264606849902
7,False,4,0.7724996250079883
7,False,5,0.47988927402350806
7,False,6,0.7753478820025903
7,False,7,0.7004946278272094
7,False,8,0.7739140232478167
7,False,9,0.8399574902973057
7,False,10,0.6456604783745864
7,False,11,0.8435448615426541
7,False,12,0.7584512355981168
7,False,13,0.7019041333059619
7,False,14,0.6473926674174689
7,False,15,0.8667192219818031
7,False,16,0.7433123548603993
7,False,17,0.7205330706502613
7,False,18,0.7716699041399784
7,False,19,0.7607209034973433
7,False,20,0.742000059482927
7,False,21,0.4193746029524854
8,True,1,0.8871331906590229
8,True,2,0.585918082638599
8,True,3,0.6147527114901993
8,True,4,0.5776732096973892
8,True,5,0.8253974857468117
8,True,6,0.5492839975370789
8,True,7,0.7190224765074461
8,True,8,0.7910804629653118
8,True,9,0.8000237452039038
8,True,10,0.6854944324873742
8,True,11,0.6931347697757134
8,True,12,0.682758973767398
8,True,13,0.6863343656088716
8,True,14,0.8130872618521974
8,True,15,0.7454086273062857
8,True,16,0.5989004903219008
8,True,17,0.6809344495352851
